buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 69, reward:-3.1209497861677415,unbalance:98.44956440527346,buffer_length: 17000
curren epsiode is 70, reward:-9.364752093399272,unbalance:565.7292036291506,buffer_length: 17000
curren epsiode is 71, reward:-17.079597935710797,unbalance:1099.0780298428392,buffer_length: 18000
curren epsiode is 72, reward:-10.084822777034859,unbalance:561.9976492685176,buffer_length: 18000
curren epsiode is 73, reward:-5.442454555153215,unbalance:226.7328370907145,buffer_length: 18000
curren epsiode is 74, reward:-10.127267587701636,unbalance:515.7305227726206,buffer_length: 18000
curren epsiode is 75, reward:-9.44437069489267,unbalance:605.9394979850257,buffer_length: 18000
curren epsiode is 76, reward:-7.966985961049341,unbalance:362.16032787031065,buffer_length: 18000
curren epsiode is 77, reward:-8.964243285314252,unbalance:385.79235722898227,buffer_length: 18000
curren epsiode is 78, reward:-11.789456640915445,unbalance:603.8249074431119,buffer_length: 18000
curren epsiode is 79, reward:-21.988009678040196,unbalance:1574.6320840706487,buffer_length: 18000
curren epsiode is 80, reward:-4.436307251108522,unbalance:131.76905071773805,buffer_length: 18000
curren epsiode is 81, reward:-19.67706996572118,unbalance:1356.8968608377631,buffer_length: 19000
curren epsiode is 82, reward:-9.560213301049105,unbalance:395.1174606736537,buffer_length: 19000
curren epsiode is 83, reward:-16.617964446657165,unbalance:1108.0099606161916,buffer_length: 19000
curren epsiode is 84, reward:-14.692578521906828,unbalance:814.591574209909,buffer_length: 19000
curren epsiode is 85, reward:-11.770898689153116,unbalance:671.0781397895544,buffer_length: 19000
curren epsiode is 86, reward:-5.736157495904957,unbalance:324.0242996048466,buffer_length: 19000
curren epsiode is 87, reward:-10.400797120669212,unbalance:517.6091956220946,buffer_length: 19000
curren epsiode is 88, reward:-6.305240635033309,unbalance:215.04471570127023,buffer_length: 19000
curren epsiode is 89, reward:-11.39383719104553,unbalance:574.1972371288223,buffer_length: 19000
curren epsiode is 90, reward:-9.044477889699767,unbalance:363.226517077319,buffer_length: 19000
curren epsiode is 91, reward:-6.444168315186801,unbalance:222.39733769939656,buffer_length: 20000
