buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 69, reward:-12.456522889412676,unbalance:664.8420672671057,buffer_length: 17000
curren epsiode is 70, reward:-2.8406434463939836,unbalance:22.2212124949437,buffer_length: 17000
curren epsiode is 71, reward:-6.284147671669663,unbalance:126.0380300590941,buffer_length: 18000
curren epsiode is 72, reward:-6.022592991740825,unbalance:184.33183921693717,buffer_length: 18000
curren epsiode is 73, reward:-17.065134790952058,unbalance:988.9569089842616,buffer_length: 18000
curren epsiode is 74, reward:-7.553503569826068,unbalance:353.42055640911974,buffer_length: 18000
curren epsiode is 75, reward:-6.97993516166761,unbalance:207.2854925389988,buffer_length: 18000
curren epsiode is 76, reward:-15.845359254391532,unbalance:971.6632406518744,buffer_length: 18000
curren epsiode is 77, reward:-20.506990553019325,unbalance:1098.8222482071783,buffer_length: 18000
curren epsiode is 78, reward:-8.137010185872933,unbalance:252.12860271103895,buffer_length: 18000
curren epsiode is 79, reward:-8.14783440657549,unbalance:250.95310630657357,buffer_length: 18000
curren epsiode is 80, reward:-5.703792534373168,unbalance:218.42007184361358,buffer_length: 18000
curren epsiode is 81, reward:-6.576873642382913,unbalance:177.12276925477656,buffer_length: 19000
curren epsiode is 82, reward:-7.592991806125922,unbalance:213.42085072898976,buffer_length: 19000
curren epsiode is 83, reward:-5.099861476346793,unbalance:131.91587433778471,buffer_length: 19000
curren epsiode is 84, reward:-8.846676293103311,unbalance:241.5711021237446,buffer_length: 19000
curren epsiode is 85, reward:-4.448978481584865,unbalance:25.86410653723396,buffer_length: 19000
curren epsiode is 86, reward:-2.3880725641210354,unbalance:0.0,buffer_length: 19000
curren epsiode is 87, reward:-11.376353619957419,unbalance:339.2305234204806,buffer_length: 19000
curren epsiode is 88, reward:-3.9945944300580867,unbalance:20.937631069846553,buffer_length: 19000
curren epsiode is 89, reward:-3.7597925966160775,unbalance:62.02438973111943,buffer_length: 19000
curren epsiode is 90, reward:-17.947714828877366,unbalance:1155.8804123622588,buffer_length: 19000
curren epsiode is 91, reward:-21.579545366365693,unbalance:1233.0518560381156,buffer_length: 20000
curren epsiode is 92, reward:-6.525995965900344,unbalance:205.46811924011615,buffer_length: 20000
curren epsiode is 93, reward:-3.433765330965146,unbalance:10.886254668043136,buffer_length: 20000
curren epsiode is 94, reward:-5.257112245209444,unbalance:49.11931306332189,buffer_length: 20000
curren epsiode is 95, reward:-13.265310575008106,unbalance:687.2121395191806,buffer_length: 20000
curren epsiode is 96, reward:-5.831962237298823,unbalance:17.529472836005908,buffer_length: 20000
curren epsiode is 97, reward:-4.975765700805843,unbalance:63.17074140427068,buffer_length: 20000
curren epsiode is 98, reward:-4.189975593082443,unbalance:67.42196685427419,buffer_length: 20000
curren epsiode is 99, reward:-7.085386820538064,unbalance:215.8050930233643,buffer_length: 20000
curren epsiode is 100, reward:-5.594374565285416,unbalance:95.88824799924876,buffer_length: 20000
curren epsiode is 101, reward:-17.600836303053416,unbalance:794.6829824217998,buffer_length: 21000
curren epsiode is 102, reward:-6.3326217234189555,unbalance:91.78773350741402,buffer_length: 21000
curren epsiode is 103, reward:-3.937926211903298,unbalance:201.5830255567762,buffer_length: 21000
curren epsiode is 104, reward:-17.32541514248267,unbalance:920.659132260558,buffer_length: 21000
curren epsiode is 105, reward:-3.2580469992563215,unbalance:12.551103565896625,buffer_length: 21000
curren epsiode is 106, reward:-6.419756201118412,unbalance:0.0,buffer_length: 21000
curren epsiode is 107, reward:-4.6791075783438,unbalance:29.02500249927194,buffer_length: 21000
curren epsiode is 108, reward:-10.910988791621321,unbalance:393.485534166442,buffer_length: 21000
curren epsiode is 109, reward:-13.790049492128617,unbalance:487.87310567445695,buffer_length: 21000
curren epsiode is 110, reward:-14.990237743111647,unbalance:640.0171512219299,buffer_length: 21000
curren epsiode is 111, reward:-4.868317317011478,unbalance:21.093192906825266,buffer_length: 22000
curren epsiode is 112, reward:-19.11160046174051,unbalance:1087.9794803723498,buffer_length: 22000
curren epsiode is 113, reward:-3.7808128555718157,unbalance:2.147695991254011,buffer_length: 22000
curren epsiode is 114, reward:-3.0126428080291654,unbalance:0.0,buffer_length: 22000
curren epsiode is 115, reward:-5.333520411874516,unbalance:115.00382527519457,buffer_length: 22000
curren epsiode is 116, reward:-5.5141055223456235,unbalance:20.668167447306416,buffer_length: 22000
curren epsiode is 117, reward:-5.055454145350143,unbalance:28.874673515922353,buffer_length: 22000
