buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
D:\UCB\Capstone\RL-for-Cost-Savings-DRL\Optimal-Energy-System-Scheduling-Combining-Mixed-Integer-Programming-and-Deep-Reinforcement-Learning\MIP_DQN.py:185: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  states = torch.as_tensor((state,), dtype=torch.float32, device=self.device)
curren epsiode is 64, reward:-4.046886868281978,unbalance:32.56305404480735,buffer_length: 17000
curren epsiode is 65, reward:-3.5233092346806614,unbalance:114.66986291747332,buffer_length: 17000
curren epsiode is 66, reward:-9.285335146213022,unbalance:447.98014570482945,buffer_length: 17000
curren epsiode is 67, reward:-11.791709154541186,unbalance:601.7955688359776,buffer_length: 17000
curren epsiode is 68, reward:-9.922303103111453,unbalance:307.8316677177574,buffer_length: 17000
curren epsiode is 69, reward:-3.1164218048489287,unbalance:51.14640553444245,buffer_length: 17000
curren epsiode is 70, reward:-8.56460548122974,unbalance:427.7970624282581,buffer_length: 17000
curren epsiode is 71, reward:-5.494714959589708,unbalance:174.7891918291607,buffer_length: 18000
curren epsiode is 72, reward:-7.832057682284606,unbalance:196.8040210173202,buffer_length: 18000
curren epsiode is 73, reward:-14.174315608060107,unbalance:850.6116210925042,buffer_length: 18000
curren epsiode is 74, reward:-6.785301061752895,unbalance:203.09815832574898,buffer_length: 18000
curren epsiode is 75, reward:-7.04829402301899,unbalance:236.36325700908918,buffer_length: 18000
curren epsiode is 76, reward:-11.509337262551117,unbalance:362.8921338939672,buffer_length: 18000
curren epsiode is 77, reward:-10.907747065043228,unbalance:440.870992967681,buffer_length: 18000
curren epsiode is 78, reward:-3.760271533127783,unbalance:95.12820682009323,buffer_length: 18000
curren epsiode is 79, reward:-20.461890848222385,unbalance:1218.4557155905432,buffer_length: 18000
curren epsiode is 80, reward:-8.933791473811748,unbalance:243.6161849007163,buffer_length: 18000
curren epsiode is 81, reward:-7.62682843087811,unbalance:267.59755250090086,buffer_length: 19000
curren epsiode is 82, reward:-12.391971582042057,unbalance:681.1153252794152,buffer_length: 19000
curren epsiode is 83, reward:-15.395729043545701,unbalance:779.9502939764079,buffer_length: 19000
curren epsiode is 84, reward:-8.244535650156568,unbalance:175.07959762548472,buffer_length: 19000
curren epsiode is 85, reward:-5.0581170629069705,unbalance:102.16651483261751,buffer_length: 19000
curren epsiode is 86, reward:-6.653436115866591,unbalance:124.6506972458507,buffer_length: 19000
curren epsiode is 87, reward:-6.562617428955279,unbalance:105.79975075459011,buffer_length: 19000
curren epsiode is 88, reward:-8.883431400575573,unbalance:124.57717916660782,buffer_length: 19000
curren epsiode is 89, reward:-6.99474594588081,unbalance:213.25084493584905,buffer_length: 19000
curren epsiode is 90, reward:-22.712126588345456,unbalance:1521.0662078717346,buffer_length: 19000
