buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 69, reward:-16.430953187003343,unbalance:1053.0855844130624,buffer_length: 17000
curren epsiode is 70, reward:-8.359821943952529,unbalance:304.6485455532299,buffer_length: 17000
curren epsiode is 71, reward:-12.522581177995146,unbalance:575.5284938138759,buffer_length: 18000
curren epsiode is 72, reward:-10.60586753725604,unbalance:372.87386834193035,buffer_length: 18000
curren epsiode is 73, reward:-21.150996838156093,unbalance:1303.3534493649067,buffer_length: 18000
curren epsiode is 74, reward:-11.766598077598184,unbalance:321.65776616056974,buffer_length: 18000
curren epsiode is 75, reward:-11.37551721103653,unbalance:446.3285097263523,buffer_length: 18000
curren epsiode is 76, reward:-22.03681971299282,unbalance:1374.0696355201005,buffer_length: 18000
curren epsiode is 77, reward:-26.858741636332653,unbalance:1906.917977922086,buffer_length: 18000
curren epsiode is 78, reward:-13.179832475702012,unbalance:409.5895495935943,buffer_length: 18000
curren epsiode is 79, reward:-12.704442690516856,unbalance:321.1763288797479,buffer_length: 18000
curren epsiode is 80, reward:-8.070920736172221,unbalance:464.94162909459186,buffer_length: 18000
curren epsiode is 81, reward:-10.385797556111063,unbalance:385.4789625196121,buffer_length: 19000
curren epsiode is 82, reward:-12.85469351665738,unbalance:475.40945961026813,buffer_length: 19000
curren epsiode is 83, reward:-9.95152140557605,unbalance:320.6969174090028,buffer_length: 19000
curren epsiode is 84, reward:-12.131022682476305,unbalance:434.79299231092386,buffer_length: 19000
curren epsiode is 85, reward:-9.276843734447022,unbalance:168.59030676494754,buffer_length: 19000
curren epsiode is 86, reward:-4.339744002732371,unbalance:82.03753421645928,buffer_length: 19000
curren epsiode is 87, reward:-15.381046601245023,unbalance:600.3911136296617,buffer_length: 19000
curren epsiode is 88, reward:-7.025961443016451,unbalance:184.96377382820262,buffer_length: 19000
curren epsiode is 89, reward:-8.040842273615754,unbalance:158.05303153263458,buffer_length: 19000
curren epsiode is 90, reward:-21.145953092642582,unbalance:1396.2715538222653,buffer_length: 19000
curren epsiode is 91, reward:-25.54782581962975,unbalance:1466.5945556646352,buffer_length: 20000
curren epsiode is 92, reward:-8.068157651315298,unbalance:25.927867905567474,buffer_length: 20000
curren epsiode is 93, reward:-4.797217887148177,unbalance:92.77524430386319,buffer_length: 20000
curren epsiode is 94, reward:-7.029136529333957,unbalance:132.92236141097996,buffer_length: 20000
curren epsiode is 95, reward:-16.463277056492817,unbalance:1085.5995495895284,buffer_length: 20000
curren epsiode is 96, reward:-7.8424246260904,unbalance:255.92291397381175,buffer_length: 20000
curren epsiode is 97, reward:-8.14762833587317,unbalance:278.7037761257452,buffer_length: 20000
curren epsiode is 98, reward:-6.481084288757432,unbalance:79.03618595910984,buffer_length: 20000
curren epsiode is 99, reward:-9.250177597008156,unbalance:553.9776276022756,buffer_length: 20000
curren epsiode is 100, reward:-6.863472287905422,unbalance:150.4397548804908,buffer_length: 20000
curren epsiode is 101, reward:-20.49874676268896,unbalance:1098.9204292599845,buffer_length: 21000
curren epsiode is 102, reward:-7.852776448165993,unbalance:244.93877513871968,buffer_length: 21000
curren epsiode is 103, reward:-3.3483679831494846,unbalance:122.76306679673763,buffer_length: 21000
curren epsiode is 104, reward:-20.275303311476808,unbalance:1388.2107060267206,buffer_length: 21000
curren epsiode is 105, reward:-4.6184150975405815,unbalance:109.77076821459573,buffer_length: 21000
curren epsiode is 106, reward:-9.380096374318754,unbalance:434.8193573425701,buffer_length: 21000
curren epsiode is 107, reward:-6.119314857536507,unbalance:215.453897392847,buffer_length: 21000
curren epsiode is 108, reward:-13.820383936244287,unbalance:826.3841985328802,buffer_length: 21000
curren epsiode is 109, reward:-17.662265010917565,unbalance:1098.3134212031364,buffer_length: 21000
curren epsiode is 110, reward:-18.451591887694146,unbalance:1215.4087072544855,buffer_length: 21000
curren epsiode is 111, reward:-6.987426307939044,unbalance:208.6087568161799,buffer_length: 22000
curren epsiode is 112, reward:-22.07996604833672,unbalance:1475.313028614977,buffer_length: 22000
curren epsiode is 113, reward:-5.414060687262986,unbalance:112.90435863886299,buffer_length: 22000
curren epsiode is 114, reward:-3.9039367688724895,unbalance:17.38840846029368,buffer_length: 22000
curren epsiode is 115, reward:-6.368150099116133,unbalance:228.37176039397247,buffer_length: 22000
curren epsiode is 116, reward:-7.059824286148188,unbalance:243.4941541371167,buffer_length: 22000
curren epsiode is 117, reward:-6.379433778547407,unbalance:184.52394965653735,buffer_length: 22000
curren epsiode is 118, reward:-17.946518595174226,unbalance:1187.130131431219,buffer_length: 22000
curren epsiode is 119, reward:-4.852328994298795,unbalance:47.94018794668017,buffer_length: 22000
curren epsiode is 120, reward:-7.57219616962438,unbalance:129.93284478497458,buffer_length: 22000
curren epsiode is 121, reward:-5.366209345494232,unbalance:26.46924461957125,buffer_length: 23000
curren epsiode is 122, reward:-21.243124829482344,unbalance:1211.178493884589,buffer_length: 23000
curren epsiode is 123, reward:-7.813278211704702,unbalance:147.62112123612008,buffer_length: 23000
curren epsiode is 124, reward:-11.695539897130464,unbalance:356.6288533537477,buffer_length: 23000
curren epsiode is 125, reward:-22.39109486677867,unbalance:1335.8388855228584,buffer_length: 23000
curren epsiode is 126, reward:-5.730628757714433,unbalance:159.6431645556878,buffer_length: 23000
curren epsiode is 127, reward:-4.112429215126973,unbalance:6.118117866082166,buffer_length: 23000
curren epsiode is 128, reward:-4.348454264053802,unbalance:74.27235586072702,buffer_length: 23000
curren epsiode is 129, reward:-18.577430062413786,unbalance:1051.3648574898016,buffer_length: 23000
curren epsiode is 130, reward:-15.72191294908478,unbalance:611.1279863652526,buffer_length: 23000
curren epsiode is 131, reward:-7.2263669994109145,unbalance:147.30434875616234,buffer_length: 24000
curren epsiode is 132, reward:-7.66720968351091,unbalance:78.34756231865194,buffer_length: 24000
curren epsiode is 133, reward:-10.752411503744549,unbalance:286.23704346069167,buffer_length: 24000
curren epsiode is 134, reward:-6.868426192562135,unbalance:78.17126430295735,buffer_length: 24000
curren epsiode is 135, reward:-15.01994310311261,unbalance:862.5296900479967,buffer_length: 24000
curren epsiode is 136, reward:-3.143933114583084,unbalance:0.0,buffer_length: 24000
curren epsiode is 137, reward:-4.429927655722064,unbalance:4.484907690858364,buffer_length: 24000
curren epsiode is 138, reward:-6.635756181293666,unbalance:174.05954900803079,buffer_length: 24000
curren epsiode is 139, reward:-22.934366050390125,unbalance:1254.3257246140768,buffer_length: 24000
curren epsiode is 140, reward:-6.385034057143475,unbalance:48.189619087511524,buffer_length: 24000
curren epsiode is 141, reward:-6.992525378904192,unbalance:107.91865265645484,buffer_length: 25000
curren epsiode is 142, reward:-4.4797219657413425,unbalance:4.310226140628863,buffer_length: 25000
curren epsiode is 143, reward:-23.446607489913198,unbalance:1335.9125551566613,buffer_length: 25000
curren epsiode is 144, reward:-5.367577284403194,unbalance:23.249566692534053,buffer_length: 25000
curren epsiode is 145, reward:-8.036631411923313,unbalance:331.6474051267732,buffer_length: 25000
curren epsiode is 146, reward:-2.3775445175048446,unbalance:21.25174673798113,buffer_length: 25000
curren epsiode is 147, reward:-5.975900817623509,unbalance:208.7003150922828,buffer_length: 25000
curren epsiode is 148, reward:-3.946138302601785,unbalance:0.0,buffer_length: 25000
curren epsiode is 149, reward:-6.384761094331676,unbalance:59.00041665835916,buffer_length: 25000
curren epsiode is 150, reward:-9.192369986097152,unbalance:202.85356066581298,buffer_length: 25000
curren epsiode is 151, reward:-6.827096820627058,unbalance:167.4160861250226,buffer_length: 26000
curren epsiode is 152, reward:-9.262801959893459,unbalance:269.64527515615646,buffer_length: 26000
curren epsiode is 153, reward:-2.3123649295800983,unbalance:5.106659417944535,buffer_length: 26000
curren epsiode is 154, reward:-5.5532011121278835,unbalance:99.1628494573682,buffer_length: 26000
curren epsiode is 155, reward:-6.13163474398461,unbalance:31.873491602206826,buffer_length: 26000
curren epsiode is 156, reward:-17.177597380157206,unbalance:1044.5245584162924,buffer_length: 26000
curren epsiode is 157, reward:-12.5729875824786,unbalance:446.90186692012236,buffer_length: 26000
curren epsiode is 158, reward:-4.823362303810137,unbalance:19.17244419653055,buffer_length: 26000
curren epsiode is 159, reward:-5.89752806063908,unbalance:77.43969318002817,buffer_length: 26000
curren epsiode is 160, reward:-9.398037013548558,unbalance:204.43971642641475,buffer_length: 26000
curren epsiode is 161, reward:-24.194250453543383,unbalance:1739.5380263084646,buffer_length: 27000
curren epsiode is 162, reward:-18.871291659374567,unbalance:1030.4596615225762,buffer_length: 27000
curren epsiode is 163, reward:-3.4909214549359833,unbalance:15.494513356353131,buffer_length: 27000
curren epsiode is 164, reward:-9.663085330680737,unbalance:420.79794011707287,buffer_length: 27000
curren epsiode is 165, reward:-8.325429422759914,unbalance:240.166544712375,buffer_length: 27000
curren epsiode is 166, reward:-16.26489232465421,unbalance:660.6167294169588,buffer_length: 27000
curren epsiode is 167, reward:-8.892794772381597,unbalance:326.051969323648,buffer_length: 27000
curren epsiode is 168, reward:-15.705056573165797,unbalance:745.1556673853767,buffer_length: 27000
curren epsiode is 169, reward:-10.076797996171662,unbalance:298.4865785010204,buffer_length: 27000
curren epsiode is 170, reward:-6.7999742216434935,unbalance:117.3696646985863,buffer_length: 27000
curren epsiode is 171, reward:-8.483625287263425,unbalance:363.0148675588601,buffer_length: 28000
curren epsiode is 172, reward:-6.908917532475713,unbalance:237.05644563583678,buffer_length: 28000
curren epsiode is 173, reward:-4.877661358939092,unbalance:25.620329656887353,buffer_length: 28000
curren epsiode is 174, reward:-9.279160034346434,unbalance:235.9116083714453,buffer_length: 28000
curren epsiode is 175, reward:-7.302190876832009,unbalance:165.38480672054266,buffer_length: 28000
curren epsiode is 176, reward:-9.264754065114634,unbalance:217.15486311363108,buffer_length: 28000
curren epsiode is 177, reward:-16.812126191890563,unbalance:1051.7936755394642,buffer_length: 28000
curren epsiode is 178, reward:-3.1132046329868346,unbalance:0.6408124496977621,buffer_length: 28000
curren epsiode is 179, reward:-4.065026360532615,unbalance:3.6351631608348605,buffer_length: 28000
curren epsiode is 180, reward:-11.971339358188967,unbalance:482.57008382243674,buffer_length: 28000
curren epsiode is 181, reward:-3.1702112775815268,unbalance:21.252746291211338,buffer_length: 29000
